Target,h2h_home_wins,h2h_away_wins,h2h_ties,home_scored,home_conceded,away_scored,away_conceded
away_win,3,0,1,121.0,89.0,59.0,70.0
home_win,33,6,9,116.0,64.0,35.0,61.0
tie,0,0,0,152.0,104.0,98.0,93.0
home_win,6,5,4,186.0,122.0,25.0,38.0
tie,2,0,1,223.0,145.0,137.0,112.0
home_win,2,0,0,102.0,81.0,39.0,44.0
away_win,6,14,2,20.0,49.0,46.0,42.0
tie,4,6,3,49.0,74.0,160.0,77.0
home_win,4,0,0,113.0,111.0,26.0,135.0
home_win,0,0,0,58.0,52.0,74.0,71.0
home_win,3,5,1,150.0,105.0,119.0,114.0
home_win,4,1,1,189.0,113.0,53.0,68.0
away_win,1,7,0,15.0,127.0,140.0,78.0
tie,0,0,0,30.0,24.0,27.0,20.0
home_win,9,0,0,99.0,19.0,28.0,88.0
home_win,0,0,0,38.0,45.0,0.0,0.0
away_win,0,0,0,53.0,53.0,140.0,43.0
away_win,3,4,1,26.0,17.0,29.0,18.0
tie,17,24,10,115.0,120.0,183.0,105.0
tie,17,10,10,38.0,51.0,61.0,69.0
away_win,17,2,4,36.0,33.0,49.0,40.0
away_win,0,3,0,12.0,58.0,51.0,61.0
away_win,0,1,0,38.0,87.0,48.0,35.0
away_win,0,4,1,115.0,104.0,210.0,121.0
tie,3,10,9,85.0,79.0,137.0,99.0
home_win,13,15,9,216.0,115.0,172.0,112.0
away_win,2,4,5,30.0,44.0,103.0,124.0
away_win,10,14,6,153.0,114.0,113.0,104.0
home_win,1,0,3,126.0,68.0,121.0,126.0
home_win,1,0,0,208.0,43.0,149.0,85.0
home_win,0,0,0,241.0,122.0,189.0,140.0
tie,14,3,2,42.0,84.0,16.0,15.0
home_win,22,7,7,54.0,92.0,29.0,46.0
home_win,3,1,2,184.0,100.0,70.0,73.0
home_win,2,0,1,135.0,65.0,99.0,72.0
home_win,55,47,13,60.0,28.0,75.0,26.0
home_win,1,0,0,37.0,37.0,1.0,9.0
away_win,1,3,0,61.0,78.0,149.0,80.0
away_win,17,11,6,12.0,13.0,7.0,20.0
tie,9,36,6,148.0,72.0,232.0,97.0
home_win,5,0,0,159.0,83.0,89.0,160.0
home_win,1,1,0,277.0,137.0,59.0,82.0
home_win,2,1,1,248.0,193.0,12.0,18.0
home_win,1,0,0,79.0,29.0,21.0,9.0
tie,1,1,0,59.0,87.0,156.0,91.0
home_win,3,0,0,154.0,75.0,8.0,37.0
tie,0,3,0,124.0,96.0,141.0,40.0
tie,3,0,0,57.0,36.0,16.0,33.0
home_win,1,0,0,22.0,31.0,3.0,13.0
away_win,1,7,1,138.0,145.0,184.0,112.0
away_win,1,2,0,47.0,45.0,72.0,51.0
away_win,0,0,0,14.0,48.0,123.0,76.0
away_win,7,1,2,125.0,112.0,86.0,121.0
home_win,10,8,6,212.0,102.0,176.0,99.0
home_win,6,0,2,273.0,96.0,86.0,58.0
away_win,2,0,3,127.0,94.0,121.0,69.0
tie,0,0,0,77.0,74.0,195.0,104.0
away_win,0,0,0,114.0,57.0,136.0,82.0
home_win,15,24,17,114.0,128.0,129.0,141.0
tie,18,27,14,117.0,51.0,79.0,59.0
home_win,1,0,2,14.0,23.0,4.0,15.0
away_win,0,5,0,27.0,182.0,97.0,80.0
away_win,0,0,0,0.0,0.0,6.0,0.0
tie,2,13,4,167.0,149.0,159.0,103.0
home_win,3,4,3,78.0,114.0,38.0,62.0
home_win,2,1,0,56.0,31.0,52.0,41.0
home_win,11,15,1,279.0,235.0,255.0,217.0
tie,1,1,1,76.0,91.0,219.0,131.0
home_win,4,0,2,109.0,65.0,18.0,23.0
home_win,1,0,1,118.0,128.0,75.0,95.0
home_win,0,0,0,2.0,30.0,1.0,15.0
home_win,0,0,1,85.0,60.0,42.0,65.0
away_win,5,9,10,70.0,120.0,129.0,147.0
home_win,5,1,1,43.0,43.0,34.0,63.0
home_win,2,1,1,103.0,98.0,81.0,96.0
tie,1,3,0,35.0,67.0,127.0,87.0
away_win,7,9,5,71.0,65.0,108.0,89.0
home_win,0,1,0,7.0,15.0,6.0,15.0
home_win,1,0,0,151.0,61.0,44.0,154.0
tie,0,4,0,208.0,131.0,65.0,47.0
tie,1,4,0,29.0,50.0,88.0,67.0
home_win,3,5,3,100.0,71.0,70.0,76.0
home_win,4,2,2,75.0,74.0,142.0,136.0
away_win,15,7,4,74.0,101.0,47.0,107.0
away_win,2,3,2,158.0,54.0,117.0,73.0
away_win,0,0,1,96.0,76.0,85.0,79.0
tie,4,7,5,60.0,81.0,57.0,61.0
tie,2,4,4,100.0,42.0,105.0,57.0
home_win,1,0,0,185.0,70.0,175.0,81.0
home_win,2,3,2,100.0,99.0,182.0,225.0
home_win,0,1,0,109.0,65.0,43.0,62.0
away_win,1,7,0,68.0,42.0,138.0,126.0
home_win,7,12,7,34.0,37.0,43.0,39.0
tie,0,5,1,33.0,68.0,182.0,95.0
home_win,1,0,1,44.0,58.0,2.0,7.0
home_win,8,0,2,90.0,125.0,82.0,94.0
away_win,0,0,3,15.0,13.0,17.0,11.0
tie,28,37,23,106.0,92.0,102.0,90.0
home_win,12,11,7,173.0,106.0,149.0,110.0
tie,1,0,1,139.0,83.0,88.0,117.0
home_win,3,0,1,67.0,118.0,72.0,83.0
home_win,4,4,2,46.0,118.0,44.0,110.0
home_win,5,0,0,92.0,18.0,43.0,40.0
away_win,0,2,0,213.0,194.0,224.0,74.0
home_win,0,0,0,109.0,109.0,146.0,83.0
home_win,13,3,6,87.0,109.0,58.0,101.0
home_win,9,2,1,148.0,85.0,76.0,92.0
home_win,12,20,6,162.0,151.0,176.0,133.0
home_win,0,0,2,21.0,30.0,105.0,95.0
home_win,7,3,5,112.0,84.0,150.0,97.0
away_win,2,7,1,111.0,105.0,116.0,101.0
tie,1,0,0,42.0,163.0,37.0,94.0
home_win,0,0,0,149.0,92.0,9.0,13.0
tie,2,3,3,229.0,193.0,144.0,94.0
home_win,1,0,0,98.0,81.0,64.0,86.0
home_win,2,0,0,14.0,9.0,157.0,124.0
tie,1,0,1,94.0,102.0,30.0,43.0
away_win,0,0,0,68.0,68.0,84.0,50.0
away_win,0,0,0,91.0,108.0,126.0,123.0
home_win,1,1,0,21.0,48.0,19.0,39.0
away_win,2,2,3,17.0,29.0,26.0,35.0
home_win,3,3,0,35.0,27.0,103.0,57.0
home_win,10,19,6,161.0,74.0,92.0,36.0
tie,2,2,2,203.0,84.0,219.0,154.0
away_win,1,1,0,81.0,162.0,124.0,81.0
tie,20,5,9,70.0,73.0,73.0,80.0
tie,3,6,6,162.0,169.0,190.0,135.0
tie,4,13,8,84.0,94.0,143.0,106.0
tie,4,7,5,113.0,102.0,188.0,119.0
home_win,0,0,0,154.0,86.0,21.0,28.0
home_win,5,1,0,106.0,66.0,55.0,98.0
home_win,1,1,0,26.0,22.0,34.0,43.0
home_win,1,0,0,107.0,80.0,27.0,37.0
tie,4,1,1,85.0,122.0,76.0,96.0
home_win,3,0,1,14.0,26.0,22.0,29.0
home_win,0,1,1,85.0,51.0,59.0,51.0
home_win,5,0,0,104.0,119.0,14.0,125.0
tie,1,3,2,139.0,140.0,156.0,96.0
tie,0,0,0,73.0,55.0,77.0,92.0
tie,4,0,2,118.0,91.0,115.0,82.0
home_win,0,1,0,5.0,26.0,45.0,56.0
away_win,0,1,0,73.0,105.0,127.0,72.0
away_win,0,3,0,8.0,46.0,41.0,67.0
home_win,4,1,0,149.0,85.0,57.0,84.0
home_win,1,0,0,36.0,45.0,8.0,27.0
home_win,2,0,1,121.0,79.0,59.0,86.0
home_win,1,0,0,169.0,130.0,69.0,87.0
tie,0,1,0,69.0,77.0,109.0,53.0
tie,0,0,0,76.0,171.0,58.0,60.0
away_win,0,3,0,14.0,16.0,37.0,7.0
home_win,3,5,3,69.0,86.0,83.0,71.0
home_win,5,0,1,150.0,72.0,86.0,119.0
home_win,2,0,1,210.0,100.0,79.0,115.0
away_win,0,0,0,86.0,126.0,101.0,55.0
home_win,1,0,0,119.0,73.0,1.0,7.0
tie,5,4,1,21.0,36.0,21.0,30.0
tie,7,4,7,102.0,76.0,70.0,87.0
home_win,1,0,0,98.0,88.0,138.0,95.0
home_win,6,4,1,122.0,113.0,187.0,126.0
home_win,0,0,0,135.0,84.0,36.0,33.0
away_win,0,2,0,5.0,14.0,75.0,85.0
tie,3,2,1,34.0,127.0,63.0,103.0
